study_id	genes	source_url	title	year	review_scope	model	intervention	outcome	metabolite_readout	limits	evidence_class	intervention_direction	web_ref	novelty_note	bibliography_note	publication_integrity_note	new_patient_or_experimental_data	is_legacy_only	source_publication_key	same_study_group
S033	FDFT1	https://pubmed.ncbi.nlm.nih.gov/39461203/	Artemisitene induces apoptosis of breast cancer cells by targeting FDFT1 and inhibits the growth of breast cancer patient-derived organoids	2024	原始研究摘要	MCF7等乳腺癌细胞；多亚型患者来源类器官	FDFT1敲低、过表达救援；ATT药物及SPR/CETSA	敲低诱导凋亡；过表达部分救援ATT；NEDD4/TNFR1/NF-kB相关	未从摘要核实角鲨烯定量或代谢救援	类器官不是临床有效性；药物安全不能外推；其他TNBC研究出现相反背景	GENETIC_BRCA	所测模型中FDFT1降低；不能泛化	turn595018search5		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/39461203	https://pubmed.ncbi.nlm.nih.gov/39461203
S034	FDFT1	https://pmc.ncbi.nlm.nih.gov/articles/PMC12116638/	Valproic acid induces ferroptosis and suppresses the proliferation of MDA-MB-231 cells by targeting FDFT1	2025	原始研究摘要及图注	MDA-MB-231；MCF7和MCF10A表达对照	FDFT1 siRNA、丙戊酸处理	图注明确FDFT1降低促进增殖并抑制铁死亡	铁死亡读数；未确认CAMP角鲨烯介导	与2024敲低诱导凋亡结论存在模型/条件矛盾；不择优忽略	GENETIC_BRCA	该TNBC条件下不支持抑制FDFT1	turn595018search12		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pmc.ncbi.nlm.nih.gov/articles/PMC12116638	https://pmc.ncbi.nlm.nih.gov/articles/PMC12116638
S035	FDFT1	https://pubmed.ncbi.nlm.nih.gov/40619388/	THEM6 modulates carboplatin sensitivity by regulating ferroptosis through FDFT1 in triple-negative breast cancer	2025	原始研究摘要	TNBC细胞及移植瘤	THEM6增加；FDFT1敲低作为救援	FDFT1敲低逆转THEM6诱导的卡铂敏感性；铁死亡背景	铁/MDA/ROS等	特定THEM6和卡铂背景；非普遍FDFT1单基因依赖	GENETIC_BRCA	保持/增强FDFT1可能有利于该治疗反应；不能简单抑制	turn595018search3		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/40619388	https://pubmed.ncbi.nlm.nih.gov/40619388
S036	FH	https://link.springer.com/article/10.1186/s40170-025-00397-z	Oncogenic role of fumarate hydratase in breast cancer: metabolic reprogramming and mechanistic insights	2025	摘要及全文结果段落	MCF7、MDA-MB-231；体内模型	FH过表达、两条shRNA	过表达增强增殖/迁移/侵袭，敲低降低；p21/MMP1及ROS联系	TCA、ROS；作者区分催化与非催化作用	与MAEL研究中恢复FH逆转恶性行为的结果存在情境差异；不能只贴肿瘤抑制或促癌标签	GENETIC_BRCA	模型中支持降低FH；同时保留恢复型反证	turn595018search6	方向冲突本身需模型对照，非立即靶点	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://link.springer.com/article/10.1186/s40170-025-00397-z	https://link.springer.com/article/10.1186/s40170-025-00397-z
S037	FOLH1	https://pubmed.ncbi.nlm.nih.gov/38664014/	Frequent Amplification and Overexpression of PSMA in Basallike Breast Cancer from Analysis of The Cancer Genome Atlas	2024	原始研究摘要	TCGA 998例亚型/拷贝数/转录及蛋白	观察性分析，未进行FOLH1基因敲低	基底样高表达与结局相关，提出放射性药物靶向可能	没有NAAG/谷氨酸介导验证	靶向递送抗原不等于代谢酶依赖；本次不计基因干预支持	ASSOCIATION_ONLY	待解释	turn595018search16		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/38664014	https://pubmed.ncbi.nlm.nih.gov/38664014
S038	GCLC	https://pubs.acs.org/doi/10.1021/tx200090n	Multidrug Resistance-Associated Protein 1 Mediates 15-Deoxy-prostaglandin J2-Induced Expression of Glutamate Cysteine Ligase via Nrf2 Signaling in Human Breast Cancer Cells	2011	原始研究摘要	MCF7	15d-PGJ2处理、Nrf2 siRNA	GCLC表达和GSH发生变化	GSH	上游Nrf2/多靶药物，不等于已核实GCLC特异抗癌干预	PATHWAY_CONTEXT_BRCA	待解释	turn164097search11	题名缩写；DOI为检索主键	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubs.acs.org/doi/10.1021/tx200090n	https://pubs.acs.org/doi/10.1021/tx200090n
S039	GDPD5; GPCPD1	https://pubmed.ncbi.nlm.nih.gov/27356959/	Targeting choline phospholipid metabolism: GDPD5 and GDPD6 silencing decrease breast cancer cell proliferation, migration, and invasion	2016	原始研究摘要	MCF7、MDA-MB-231	GDPD5或GDPD6/GPCPD1 siRNA	两者提高GPC；GDPD5降低MCF7存活，GPCPD1不降低两系存活；MDA-MB-231迁移/侵袭降低	GPC上升；PC和游离胆碱未变	无DNA ladder凋亡；GPC增加幅度与表型强度不一致；不能证明GPC介导	GENETIC_BRCA	有限模型中降低基因的终点不同	turn164097search8		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/27356959	https://pubmed.ncbi.nlm.nih.gov/27356959
S040	GDPD5	https://pubmed.ncbi.nlm.nih.gov/24764256/	Silencing of the glycerophosphocholine phosphodiesterase GDPD5 alters the phospholipid metabolite profile in a breast cancer model in vivo as monitored by 31P MRS	2014	原始研究摘要	MDA-MB-231细胞及原位异种移植瘤	稳定GDPD5 shRNA	体内GPC和磷酸乙醇胺升高	31P MRS	此摘要证明代谢改变，不自动证明肿瘤缩小	GENETIC_BRCA	GDPD5降低改变代谢	turn164097search3		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/24764256	https://pubmed.ncbi.nlm.nih.gov/24764256
S041	GLS	https://pubmed.ncbi.nlm.nih.gov/28950000/	Glutaminase is essential for the growth of triple-negative breast cancer cells with a deregulated glutamine metabolism pathway and its suppression synergizes with mTOR inhibition	2017	原始研究摘要	谷氨酰胺分解失调TNBC及非TNBC对照；异种移植	诱导shGLS；shRNA耐受同工酶cDNA与αKG类似物救援；CB839/mTOR	特定TNBC体内外生长抑制；非TNBC生长和代谢物未受同样影响	谷氨酰胺/谷氨酸测量、αKG救援	亚型和营养背景限定；已有成熟研究，非本项目新机制	GENETIC_BRCA	特定TNBC降低GLS	turn164097search0		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/28950000	https://pubmed.ncbi.nlm.nih.gov/28950000
S042	GLS2	https://pubmed.ncbi.nlm.nih.gov/31541193/	GLS2 is protumorigenic in breast cancers	2020	原始研究摘要（2019在线）	多乳腺癌细胞含TNBC；体内肺转移	GLS2过表达/敲低；长期BPTES选择	GLS2支持增殖及迁移转移，可救援GLS抑制后的代谢和生长	TCA补充、氧化还原、线粒体功能	GLS2可为GLS抑制旁路；不因其他癌种抑癌报道就建议恢复GLS2	GENETIC_BRCA	模型中GLS2降低；注意同工酶补偿	turn169610search0		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/31541193	https://pubmed.ncbi.nlm.nih.gov/31541193
S043	GLS2	https://pubmed.ncbi.nlm.nih.gov/31577957/	Liver-Type Glutaminase GLS2 Is a Druggable Metabolic Node in Luminal-Subtype Breast Cancer	2019	原始研究摘要	luminal乳腺癌与basal对照；GATA3背景	GLS2功能/双GLS-GLS2抑制；详细构建须全文核实	luminal依赖GLS2且对GLS选择性药物不敏感	谷氨酰胺代谢	药物双靶点与特定亚型；不能外推全部乳腺癌	GENETIC_BRCA	luminal GLS2机制/依赖背景	turn169610search7		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/31577957	https://pubmed.ncbi.nlm.nih.gov/31577957
S044	GLUL	https://pubmed.ncbi.nlm.nih.gov/27791265/	GLUL Promotes Cell Proliferation in Breast Cancer	2017	原始研究摘要	SK-BR-3；乳腺癌表达队列	GLUL knockdown	SK-BR-3增殖和p38/ERK信号下降	未证明CAMP谷氨酰胺变化介导	细胞系表达不均；不视为全部乳腺癌依赖	GENETIC_BRCA	HER2相关SKBR3模型GLUL降低	turn169610search4		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/27791265	https://pubmed.ncbi.nlm.nih.gov/27791265
S045	GNPNAT1	https://pubmed.ncbi.nlm.nih.gov/37387422/	GNPNAT1 promotes the stemness of breast cancer and serves as a potential prognostic biomarker	2023	原始研究摘要	SKBR3、Hs578T	敲低与过表达	敲低降低干性标志、乳腺球和克隆形成；过表达相反	未测实CAMP GlcNAc6P介导	体外干性终点；生信部分不算独立功能验证	GENETIC_BRCA	降低GNPNAT1的干性研究	turn169610search1		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/37387422	https://pubmed.ncbi.nlm.nih.gov/37387422
S046	GPI	https://pubmed.ncbi.nlm.nih.gov/33042622/	Human haptoglobin contributes to breast cancer oncogenesis through glycolytic activity modulation	2020	原始研究摘要	乳腺癌细胞及小鼠；细胞系见全文	HP/GPI敲低；化疗联用	GPI降低使糖酵解下降、耗氧恢复，迁移/侵袭下降并增敏化疗；HP和GPI抑制有体内效应	葡萄糖摄取、LDH、耗氧；未证实G6P/F6P介导	HP与GPI实验须分别归属；代谢/非代谢作用不能混写	GENETIC_BRCA	特定模型GPI降低	turn273282search0		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/33042622	https://pubmed.ncbi.nlm.nih.gov/33042622
S047	GPCPD1	https://link.springer.com/article/10.1186/s13058-024-01849-y	EDI3 knockdown in ER-HER2+ breast cancer cells reduces tumor burden and improves survival in two mouse models of experimental metastasis	2024	原始研究摘要及正文/结论片段	ER阴性HER2阳性HCC1954、SUM190PT；尾静脉/腹腔注射免疫缺陷鼠	诱导shEDI3/GPCPD1、siRNA	黏附/克隆/抗失巢凋亡下降，迁移未改变；实验性转移负荷下降和腹腔模型生存改善	靶向代谢组及MALDI-MSI；GPC与多种磷脂改变	注射转移省略自发转移早期步骤；没有证明GPC升高介导抑转移；与2023研究相关作者/模型	GENETIC_BRCA	ER阴性HER2阳性背景GPCPD1降低	turn273282search1;turn273282search2	已有深入机制/代谢研究，定位为参照与背景扩展，不称新靶点	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://link.springer.com/article/10.1186/s13058-024-01849-y	https://link.springer.com/article/10.1186/s13058-024-01849-y
S048	HAL	https://pmc.ncbi.nlm.nih.gov/articles/PMC9161264/	Survival-Associated Metabolic Genes and Risk Scoring System in HER2-Positive Breast Cancer	2022	原始研究摘要及正文片段	HER2阳性公共转录队列	观察性生存/风险模型	HAL为风险模型相关基因之一	无直接代谢干预	风险关联不能写为HAL敲低抑癌	ASSOCIATION_ONLY	待解释	turn789049search3		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pmc.ncbi.nlm.nih.gov/articles/PMC9161264	https://pmc.ncbi.nlm.nih.gov/articles/PMC9161264
S049	HPD	https://pubmed.ncbi.nlm.nih.gov/31277952/	HPD overexpression predicts poor prognosis in breast cancer	2019	原始研究摘要	145例乳腺癌、53例DCIS、42例正常；MCF7/MDA-MB-231定位	IHC/免疫荧光/Western；未核实基因扰动	高HPD与分级分期和较差结局相关	无4-HPP介导实验	标题potential target不等于功能靶点；当前只计观察性	ASSOCIATION_ONLY	待解释	turn789049search1		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/31277952	https://pubmed.ncbi.nlm.nih.gov/31277952
S050	HPRT1	https://www.mdpi.com/2072-6694/12/6/1522	Hypoxanthine Phosphoribosyl Transferase 1 Is Upregulated, Predicts Clinical Outcome and Controls Gene Expression in Breast Cancer	2020	摘要及全文结果段落；GEO设计核查	MDA-MB-231、MCF7、MCF10A	两种siRNA；RNA-seq	改变癌症/DNA修复相关转录程序；当前所读材料未确认肿瘤生长/迁移终点	未证明鸟嘌呤/次黄嘌呤介导；公开扰动RNA GSE149768	有基因干预不等于已有抗肿瘤表型；MCF10A不是患者正常组织	GENETIC_MOLECULAR_BRCA	降低HPRT1用于转录研究	turn789049search2;turn789049search5	可复用公开扰动数据，但不应套新预后模型	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://www.mdpi.com/2072-6694/12/6/1522	https://www.mdpi.com/2072-6694/12/6/1522
S051	IMPA1	https://pubmed.ncbi.nlm.nih.gov/35796646/	Inositol monophosphatase 1 (IMPA1) promotes triple-negative breast cancer progression through regulating mTOR pathway and EMT process	2023	摘要及全文讨论片段（2022在线）	LM2-4175及TNBC细胞；异种移植/肺定植	IMPA1敲低；RNA-seq	影响增殖、克隆、移动、体内成瘤与肺定植；mTOR/EMT	未在所读段落证明I1P介导；文章讨论仍需探索肌醇机制	肺定植非全部自发转移；2024 IMPA2研究不能因早期文中不可检出而排除	GENETIC_BRCA	TNBC中IMPA1降低	turn939971search6;turn939971search5		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/35796646	https://pubmed.ncbi.nlm.nih.gov/35796646
S052	IMPA2	https://pubmed.ncbi.nlm.nih.gov/38048842/	IMPA2 promotes basal-like breast cancer aggressiveness by a MYC-mediated positive feedback loop	2024	原始研究摘要（2023在线）	基底样乳腺癌细胞及体内模型	IMPA2敲低；MYC/NFAT1联系	敲低减少体内外成瘤与转移；MYC正反馈	MI-PI循环、IP3、Ca2+	I1P静态量不等于循环通量；已发表机制不是CAMP新发现	GENETIC_BRCA	基底样背景IMPA2降低	turn939971search1		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/38048842	https://pubmed.ncbi.nlm.nih.gov/38048842
S053	KHK	https://pmc.ncbi.nlm.nih.gov/articles/PMC5622605/	Increased utilization of fructose has a positive effect on the development of breast cancer	2017	全文结果段落	MCF7、4T1；果糖或葡萄糖培养条件	KHK或GLUT5 shRNA	果糖培养条件下增殖受抑，葡萄糖条件下不受同样影响	果糖利用	严格营养依赖；不可省略葡萄糖条件阴性结果	GENETIC_BRCA	果糖利用条件KHK降低	turn939971search11		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pmc.ncbi.nlm.nih.gov/articles/PMC5622605	https://pmc.ncbi.nlm.nih.gov/articles/PMC5622605
S054	KHK	https://www.nature.com/articles/s41467-020-19263-1	Ketohexokinase-A acts as a nuclear protein kinase that mediates fructose-induced metastasis in breast cancer	2020	全文引言与机制结果概述	乳腺癌果糖刺激/转移模型	KHK-A通路与核转运/磷酸化机制干预；构建细节待逐图核实	果糖经KHK-A/YWHAH/SLUG促进侵袭转移	果糖刺激；非单纯KHK-C果糖1磷酸合成机制	异构体和非经典蛋白激酶作用重要；bulk总RNA不能区分	GENETIC_BRCA	KHK-A机制限定	turn939971search7		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://www.nature.com/articles/s41467-020-19263-1	https://www.nature.com/articles/s41467-020-19263-1
S055	KMO	https://pubmed.ncbi.nlm.nih.gov/32268268/	Kynurenine 3-monooxygenase upregulates pluripotent genes through beta-catenin and promotes triple-negative breast cancer progression	2020	原始研究摘要	TNBC细胞；原位异种移植/尾静脉模型	RNAi、CRISPR、过表达与酶活受损突变体	KMO降低抑制生长和转移；酶活受损突变仍促进迁移侵袭	beta-catenin/干性；未证明犬尿氨酸介导	基因缺失不能等同催化抑制；非催化机制为关键反证	GENETIC_BRCA	降低蛋白的支持，不自动支持抑制酶活	turn939971search3		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/32268268	https://pubmed.ncbi.nlm.nih.gov/32268268
S056	KYNU	https://pubmed.ncbi.nlm.nih.gov/31332944/	A novel role of kynureninase in the growth control of breast cancer cells and its relationships with breast cancer	2019	原始研究摘要	乳腺癌细胞与NOD/SCID异种移植	KYNU过表达	降低增殖、软琼脂克隆和异种移植生长	未从摘要核实犬尿氨酸介导	恢复型抑癌方向；不能因患者正相关就建议抑制KYNU	GENETIC_BRCA	恢复/增加KYNU，不是抑制	turn924761search4		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/31332944	https://pubmed.ncbi.nlm.nih.gov/31332944
S057	LDHA	https://www.nature.com/articles/srep21735	The miR-34a-LDHA axis regulates glucose metabolism and tumor growth in breast cancer	2016	全文结果片段	MCF7、MDA-MB-231、异种移植	LDHA敲低/过表达；miR34a相关	敲低降低乳酸、葡萄糖摄取及细胞数量；过表达增加肿瘤生长	乳酸测量	与2017稳定敲低无效研究形成条件/克隆/同工酶反证；不删除反向证据	GENETIC_BRCA	所测条件LDHA降低	turn924761search17		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://www.nature.com/articles/srep21735	https://www.nature.com/articles/srep21735
S058	LDHA	https://pubmed.ncbi.nlm.nih.gov/28314283/	Stable shRNA Silencing of Lactate Dehydrogenase A (LDHA) in Human MDA-MB-231 Breast Cancer Cells Fails to Alter Lactic Acid Production, Glycolytic Activity, ATP or Survival	2017	原始研究摘要	MDA-MB-231稳定shRNA克隆	LDHA降至低于对照1%	存活、乳酸、ATP、葡萄糖消耗及代谢率未见变化	乳酸/ATP等直接检测	高LDHB背景；稳定克隆适应不同于急性敲低，不称所有研究错误	GENETIC_BRCA_COUNTEREVIDENCE	LDHA单独降低在此模型无效	turn924761search6		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/28314283	https://pubmed.ncbi.nlm.nih.gov/28314283
S059	LDHB	https://aacrjournals.org/cancerres/article/72/22/5812/576593/An-Integrated-Genomic-Screen-Identifies-LDHB-as-an	An Integrated Genomic Screen Identifies LDHB as an Essential Gene for Triple-Negative Breast Cancer	2012	全文结果片段与摘要	BT549、CAL51、CAL120、MDA-MB-231、MDA-MB-436等TNBC；luminal对照；已成瘤体内模型	两条siRNA及体内LDHB降低	高LDHB TNBC增殖下降和肿瘤停滞，luminal不同	糖酵解依赖	不能外推CAF/免疫环境；2026 CAF研究提示相反干预风险	GENETIC_BRCA	TNBC癌细胞背景降低LDHB	turn924761search0		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://aacrjournals.org/cancerres/article/72/22/5812/576593/An-Integrated-Genomic-Screen-Identifies-LDHB-as-an	https://aacrjournals.org/cancerres/article/72/22/5812/576593/An-Integrated-Genomic-Screen-Identifies-LDHB-as-an
S060	LDHB	https://aacrjournals.org/cancerres/article/86/11/2703/785310/LDHB-Deficiency-in-Fibroblasts-Induces-Lactate	LDHB Deficiency in Fibroblasts Induces Lactate-Mediated Inflammatory Reprogramming That Promotes Breast Cancer Metastasis	2026	原始研究摘要及数据可用性段落	乳腺癌相关成纤维细胞及转移模型	CAF LDHB缺失	乳酸累积、p38持续激活和CXCL8分泌，促进肿瘤转移	乳酸-DUSP16/p38-CXCL8链；公开资料有PXD055370/PXD055422	与癌细胞LDHB依赖不同；全组织RNA无法定位，不能简单全身抑制LDHB	GENETIC_BRCA	基质LDHB维持/增强假说，非普遍降低	turn924761search2;turn924761search11	直接提示细胞来源可改变干预方向；已发表不是本项目首次机制	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://aacrjournals.org/cancerres/article/86/11/2703/785310/LDHB-Deficiency-in-Fibroblasts-Induces-Lactate	https://aacrjournals.org/cancerres/article/86/11/2703/785310/LDHB-Deficiency-in-Fibroblasts-Induces-Lactate
S061	LDHB	https://pubmed.ncbi.nlm.nih.gov/38525901/	Decreased LDHB expression in breast tumor cells causes NK cell activation and promotes tumor progression	2024	原始研究摘要	乳腺癌/NK细胞及小鼠	LDHB相关干预；需全文厘清标题和结果的方向差异	摘要结果写LDHB乳酸清除促进NK活化并限制肿瘤	乳酸清除	标题与摘要表述不一致；保留为需复核证据，不用标题推定方向	CONFLICTED_REPORT	待全文核查	turn924761search9		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/38525901	https://pubmed.ncbi.nlm.nih.gov/38525901
S062	MDH2	https://pubmed.ncbi.nlm.nih.gov/41179294/	Multi-Omics Insights into the Impact of MDH2 on Breast Cancer Progression: A Promising Druggable Target	2025	PRIMARY_ABSTRACT_AND_FIGURE_CAPTIONS	乳腺癌细胞及移植瘤；具体细胞系待全文方法复核	MDH2敲低、过表达	敲低抑制增殖/迁移、逆转EMT；过表达加速移植瘤生长	非靶向代谢组提示腺苷/亚油酸等变化，尚未证明CAMP苹果酸介导	包含多组学和对接；对接不作为功能证据；模型细节未逐一核定	GENETIC_BRCA	待解释	turn349888	已发表MDH2机制研究；可考察公开扰动多组学，不能宣称首次靶点	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/41179294	https://pubmed.ncbi.nlm.nih.gov/41179294
S063	MDH1	https://pubmed.ncbi.nlm.nih.gov/39818404/	Unveiling the role of MDH1 in breast cancer drug resistance with single-cell sequencing and schottenol intervention	2025	PRIMARY_ABSTRACT	乳腺癌耐药细胞，具体系待全文核定	schottenol处理并观察MDH1	增殖受抑及紫杉醇敏感性提高	未核实苹果酸的直接测量	摘要不足以确认MDH1特异遗传干预或药物靶点专属性	DRUG_CONTEXT_BRCA	待解释	turn349888		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/39818404	https://pubmed.ncbi.nlm.nih.gov/39818404
S064	MAT2A	https://pubmed.ncbi.nlm.nih.gov/26418898/	Induction of methionine adenosyltransferase 2A in tamoxifen-resistant breast cancer cells	2015	PRIMARY_ABSTRACT_PARTIAL	TAMR-MCF7和T47D背景	上游NF-κB抑制与MAT2A表达分析	提示耐药背景MAT2A上调；本次摘录未完整核实MAT2A直接扰动终点	未核实对应CAMP代谢物变化	不是MAT2B研究；需全文确认干预与终点	PATHWAY_CONTEXT_BRCA	待解释	turn349888		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/26418898	https://pubmed.ncbi.nlm.nih.gov/26418898
S065	MGAM	https://pmc.ncbi.nlm.nih.gov/articles/PMC6451114/	Proteins with Evolutionarily Hypervariable Domains Are Associated with Immune Response and Better Survival of Basal-like Breast Cancer	2019	PRIMARY_TEXT_EXCERPT	TCGA乳腺癌分型	表达/预后比较，非MGAM干预	MGAM与MGAM2分型表达；相关预后/免疫信息	未测CAMP麦芽糖变化	MGAM2结果不能移给MGAM	ASSOCIATION_ONLY	待解释	turn349888		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pmc.ncbi.nlm.nih.gov/articles/PMC6451114	https://pmc.ncbi.nlm.nih.gov/articles/PMC6451114
S066	NNMT	https://pubmed.ncbi.nlm.nih.gov/38126621/	NNMT/1-MNA promotes breast cancer progression through UBC12/Cullin-1-mediated P27 degradation	2024	PRIMARY_ABSTRACT_AND_TEXT_EXCERPT	乳腺癌细胞及相关肿瘤模型	NNMT敲低及1-MNA相关机制实验	影响G0/G1进程；1-MNA保护UBC12，促进Cullin-1相关P27降解	直接研究1-MNA	这是既有具体代谢机制，不能作为CAMP新发现；不同细胞来源仍需区分	GENETIC_BRCA	待解释	turn160428	已有NNMT—1-MNA—P27机制；常规重复的增量有限	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/38126621	https://pubmed.ncbi.nlm.nih.gov/38126621
